#
# DYNAMO Model
#
Time,_052_IndustrialCapital,_067_ServiceCapital,_050_IndustrialOutput,_070_ServiceOutput,_087_Food
2074.0,3.383e+12,1.047e+12,3.032e+11,1.047e+12,1.186e+12
2076.0,3.118e+12,9.658e+11,2.741e+11,9.658e+11,1.158e+12
2078.0,2.870e+12,8.915e+11,2.478e+11,8.915e+11,1.132e+12
2080.0,2.638e+12,8.234e+11,2.241e+11,8.234e+11,1.108e+12
2082.0,2.422e+12,7.612e+11,2.027e+11,7.612e+11,1.087e+12
2084.0,2.221e+12,7.042e+11,1.833e+11,7.042e+11,1.068e+12
2086.0,2.035e+12,6.521e+11,1.658e+11,6.521e+11,1.051e+12
2088.0,1.863e+12,6.042e+11,1.500e+11,6.042e+11,1.036e+12
2090.0,1.704e+12,5.603e+11,1.358e+11,5.603e+11,1.022e+12
2092.0,1.557e+12,5.200e+11,1.229e+11,5.200e+11,1.010e+12
2094.0,1.422e+12,4.830e+11,1.112e+11,4.830e+11,9.988e+11
2096.0,1.298e+12,4.489e+11,1.007e+11,4.489e+11,9.889e+11
2098.0,1.183e+12,4.175e+11,9.115e+10,4.175e+11,9.800e+11
2100.0,1.079e+12,3.886e+11,8.253e+10,3.886e+11,9.721e+11
